Kinase,Compounds,Binding value,Docking value
DDR1,23669621.0,18.11573270865085,-8.796
DDR1,12151363.0,18.12488982826902,-8.217
DDR1,213031.0,18.16561590081201,-8.264
DDR1,22235201.0,18.21857640956587,-8.114
DDR1,46944253.0,18.30066143383391,-8.298
DDR1,50980.0,18.31505832646244,-8.677
DDR1,134590429.0,18.39089529478737,-8.839
DDR1,19402.0,18.68058617861561,-8.042
DDR1,9828359.0,18.7099186198984,-8.281
DDR1,67119441.0,18.90875996303993,-8.089
DDR1,132115472.0,18.92156917088214,-8.757
DDR1,154395.0,19.04003837323064,-8.091
DDR1,107901.0,19.06576105928657,-8.48
DDR1,104926.0,19.14615685635848,-8.539
DDR1,162483615.0,19.16086457497505,-8.186
DDR1,54682651.0,19.34085910459154,-8.158
DDR1,54676038.0,19.42434169952548,-8.223
DDR1,93482.0,19.55107788088219,-8.849
DDR1,37123.0,19.58390509225132,-8.282
DDR1,54680676.0,19.7014613639599,-8.72
DDR1,92396.0,19.83831810585201,-8.327
DDR1,53518.0,19.91392757992659,-8.331
DYRK1A,9435.0,7.240587861810857,-8.319
DYRK1A,93178.0,8.245563264842943,-8.089
DYRK1A,16559.0,8.450675688934336,-8.808
DYRK1A,10139.0,8.476523017258511,-8.897
DYRK1A,11500973.0,9.065889626509028,-8.334
DYRK1A,2345.0,9.34487882402512,-8.356
DYRK1A,92326.0,9.406229015002667,-8.112
DYRK1A,23674999.0,9.538044881051244,-8.245
DYRK1A,56843907.0,9.670299561115792,-8.208
DYRK1A,39425.0,9.873719258056717,-8.121
DYRK1A,13728.0,10.15676203550357,-8.322
DYRK1A,92433.0,10.5051381336199,-8.606
DYRK1A,25241871.0,10.6113814333611,-8.006
DYRK1A,11634286.0,10.70974532963005,-8.1
DYRK1A,83975.0,10.8397720560362,-8.566
DYRK1A,91759.0,11.25986705423537,-8.071
DYRK1A,3081363.0,11.6857344726976,-8.61
DYRK1A,11388558.0,11.75064835388355,-8.192
DYRK1A,11158213.0,11.91994765895531,-9.501
DYRK1A,11990852.0,12.09211580591263,-8.286
